time (ms),qx,qy,qz,qw,qx2,qy2,qz2,qw2,mx1,my1,mz1,mx2,my2,mz2,gx1,gy1,gz1,gx2,gy2,gz2,ax1,ay1,az1,ax2,ay2,az2,lx1,ly1,lz1,lx2,ly2,lz2,grx1,gry1,grz1,grx2,gry2,grz2
15574,-0.86529541015625,-0.42657470703125,-0.09814453125,0.2442626953125,-0.43450927734375,-0.40106201171875,-0.64105224609375,0.48931884765625,-2.6875,4.5,53.0,-49.1875,-7.6875,3.6875,0.14555555555555555,0.0077777777777777776,-0.0022222222222222222,0.0044444444444444444,0.0033333333333333335,0.006666666666666667,3.36,-3.24,-8.19,9.28,0.81,3.01,-0.33,0.1,0.23,1.28,-0.09,0.04,4.98,-3.32,-8.44,9.31,0.87,2.94
15625,-0.86529541015625,-0.42657470703125,-0.0982666015625,0.2442626953125,-0.434326171875,-0.40130615234375,-0.64080810546875,0.48956298828125,-2.0,5.1875,52.6875,-48.0625,-8.0625,2.875,-0.014444444444444444,0.01888888888888889,-0.006666666666666667,0.16777777777777778,0.0011111111111111111,-0.012222222222222223,4.65,-3.23,-8.21,9.3,0.79,2.95,-0.33,0.08,0.23,-0.02,-0.06,-0.01,4.99,-3.31,-8.44,9.31,0.87,2.94
15663,-0.86529541015625,-0.426513671875,-0.09869384765625,0.244140625,-0.43402099609375,-0.40167236328125,-0.6407470703125,0.4896240234375,-2.25,4.875,53.875,-48.75,-8.0625,3.6875,-0.015555555555555555,0.025555555555555557,-0.0077777777777777776,0.15777777777777777,0.0044444444444444444,-0.027777777777777776,4.65,-3.17,-8.16,9.28,0.84,2.91,-0.34,0.13,0.27,-0.02,-0.02,0.02,5.0,-3.31,-8.44,9.31,0.88,2.94
15703,-0.865234375,-0.426513671875,-0.09912109375,0.244140625,-0.43365478515625,-0.402099609375,-0.640869140625,0.48944091796875,-3.5,4.5,53.0,-49.875,-7.25,3.6875,-0.017777777777777778,0.027777777777777776,-0.012222222222222223,0.015555555555555555,0.0033333333333333335,-0.03,3.4,-3.18,-8.18,9.26,0.89,2.99,-0.31,0.09,0.18,-0.04,-0.01,0.04,5.01,-3.3,-8.44,9.31,0.89,2.94
15743,-0.86517333984375,-0.42657470703125,-0.09979248046875,0.24407958984375,-0.43328857421875,-0.4024658203125,-0.64080810546875,0.49725341796875,-3.0625,4.875,53.875,-39.25,-7.6875,4.875,-0.01,0.02,-0.008888888888888889,0.023333333333333334,-0.005555555555555556,-0.011111111111111112,3.4,-3.19,-8.17,9.29,0.91,2.95,-0.3,0.11,0.23,-0.03,-0.01,0.06,3.74,-3.3,-8.44,9.31,0.9,2.94
15784,-0.8651123046875,-0.42657470703125,-0.1002197265625,0.244140625,-0.4329833984375,-0.40289306640625,-0.640625,0.49749755859375,-2.0,4.5,53.5,-48.375,-8.5,4.0625,-0.0033333333333333335,0.013333333333333334,-0.0033333333333333335,0.013333333333333334,-0.014444444444444444,0.006666666666666667,3.37,-3.18,-8.18,9.27,0.82,2.96,-0.37,0.11,0.21,-0.03,-0.06,0.0,5.02,-3.3,-8.43,9.31,0.9,2.94
15823,-0.86505126953125,-0.426513671875,-0.1004638671875,0.24420166015625,-0.4329833984375,-0.4031982421875,-0.64044189453125,0.48974609375,-2.0,4.5,53.5,-48.375,-8.5,4.0625,-0.016666666666666666,0.023333333333333334,-0.006666666666666667,0.01,-0.005555555555555556,0.0044444444444444444,4.7,-3.18,-8.18,9.29,0.88,2.92,-0.35,0.1,0.25,1.28,-0.02,0.0,5.03,-3.3,-8.43,9.31,0.9,2.94
15863,-0.86505126953125,-0.4263916015625,-0.10089111328125,0.24432373046875,-0.4329833984375,-0.4031982421875,-0.64031982421875,0.4976806640625,-3.0625,4.875,52.6875,-48.0625,-7.6875,2.875,-0.017777777777777778,0.03222222222222222,-0.01,0.17333333333333334,0.0077777777777777776,0.015555555555555555,4.65,-3.2,-8.19,9.26,0.79,2.97,-0.37,0.1,0.26,-0.01,-0.08,0.02,3.76,-3.29,-8.43,9.31,0.9,2.94
15904,-0.864990234375,-0.42626953125,-0.1016845703125,0.24432373046875,-0.432861328125,-0.40338134765625,-0.64007568359375,0.4979248046875,-2.25,4.0625,53.0,-48.75,-8.0625,3.6875,-0.01888888888888889,0.034444444444444444,-0.0077777777777777776,-0.0011111111111111111,0.0011111111111111111,-0.008888888888888889,3.43,-3.18,-8.23,9.3,0.84,2.96,-0.36,0.09,0.22,1.28,-0.04,0.01,5.05,-3.29,-8.43,9.31,0.9,2.93
15945,-0.86505126953125,-0.42608642578125,-0.10211181640625,0.24432373046875,-0.432861328125,-0.4034423828125,-0.6400146484375,0.4901123046875,-3.0625,3.6875,53.875,-47.6875,-8.5,4.0625,-0.028888888888888888,0.04,-0.011111111111111112,-0.005555555555555556,-0.013333333333333334,-0.0077777777777777776,3.46,-3.14,-8.18,9.28,0.83,2.93,-0.32,0.14,0.27,1.29,-0.02,-0.01,5.06,-3.28,-8.43,9.31,0.9,2.93
15985,-0.86517333984375,-0.4259033203125,-0.102783203125,0.2440185546875,-0.4329833984375,-0.4034423828125,-0.64013671875,0.4898681640625,-2.6875,5.1875,52.6875,-48.75,-8.0625,4.5,-0.012222222222222223,0.02666666666666667,-0.006666666666666667,-0.012222222222222223,-0.015555555555555555,-0.01888888888888889,3.46,-3.2,-8.22,9.28,0.85,2.96,-0.29,0.04,0.25,-0.03,-0.07,0.03,5.06,-3.27,-8.43,9.31,0.9,2.93
16023,-0.865234375,-0.42578125,-0.1031494140625,0.2437744140625,-0.4332275390625,-0.40362548828125,-0.64013671875,0.489501953125,-2.6875,5.1875,52.6875,-48.75,-8.0625,4.5,-0.06444444444444444,0.006666666666666667,-0.022222222222222223,-0.011111111111111112,-0.013333333333333334,-0.016666666666666666,4.77,-3.17,-8.11,9.28,0.83,2.94,-0.38,0.23,0.28,1.29,-0.07,-0.05,5.06,-3.25,-8.44,9.31,0.91,2.92
16062,-0.8653564453125,-0.42608642578125,-0.10369873046875,0.24261474609375,-0.43341064453125,-0.40386962890625,-0.6402587890625,0.489013671875,-3.0625,5.1875,53.0625,-47.25,-8.5,2.875,-0.04555555555555556,0.027777777777777776,-0.023333333333333334,-0.01,-0.012222222222222223,-0.028888888888888888,4.64,-3.06,-8.18,9.35,0.81,2.84,-0.43,0.16,0.28,1.28,-0.12,0.0,5.07,-3.23,-8.44,9.31,0.92,2.92
16103,-0.865478515625,-0.4261474609375,-0.10418701171875,0.24969482421875,-0.43328857421875,-0.40411376953125,-0.64044189453125,0.48858642578125,-2.6875,3.6875,54.6875,-48.75,-6.5625,4.0625,-0.03666666666666667,0.057777777777777775,-0.03111111111111111,0.008888888888888889,0.0033333333333333335,-0.04111111111111111,3.38,-3.11,-8.12,9.3,0.87,2.9,-0.39,0.16,0.37,-0.02,-0.01,-0.01,5.08,-3.21,-8.44,9.31,0.93,2.91
16145,-0.86541748046875,-0.42626953125,-0.105224609375,0.249267578125,-0.4332275390625,-0.4044189453125,-0.640869140625,0.4957275390625,-3.5,3.6875,53.0,-48.75,-8.0625,4.875,-0.034444444444444444,0.057777777777777775,-0.023333333333333334,-0.022222222222222223,0.0011111111111111111,-0.044444444444444446,3.41,-3.1,-8.07,9.28,0.93,2.93,-0.36,0.12,0.41,-0.05,0.01,0.0,5.09,-3.2,-8.44,9.31,0.94,2.91
16184,-0.8653564453125,-0.42620849609375,-0.10626220703125,0.2490234375,-0.43304443359375,-0.40460205078125,-0.64141845703125,0.49505615234375,-3.0625,3.6875,53.0,-48.375,-8.75,4.0625,-0.03777777777777778,0.03777777777777778,-0.016666666666666666,-0.016666666666666666,0.0011111111111111111,-0.03111111111111111,3.36,-3.05,-7.97,9.28,0.91,2.91,-0.48,0.1,0.42,-0.02,-0.05,0.0,5.1,-3.19,-8.44,9.31,0.95,2.91
16223,-0.86541748046875,-0.4261474609375,-0.106689453125,0.24102783203125,-0.432861328125,-0.40478515625,-0.6417236328125,0.48681640625,-3.0625,3.6875,53.0,-48.375,-8.75,4.0625,-0.01,0.03666666666666667,-0.01,-0.017777777777777778,-0.0022222222222222222,-0.021111111111111112,4.69,-3.11,-8.02,9.25,0.96,2.96,-0.41,0.1,0.44,-0.06,0.0,0.02,3.82,-3.2,-8.44,9.31,0.96,2.91
16267,-0.865478515625,-0.4259033203125,-0.1068115234375,0.2410888671875,-0.43292236328125,-0.4046630859375,-0.6419677734375,0.48651123046875,-3.5,4.0625,54.6875,-49.1875,-8.75,4.0625,0.14222222222222222,0.015555555555555555,0.0011111111111111111,-0.008888888888888889,0.0011111111111111111,0.0,3.38,-3.13,-8.03,9.26,0.92,2.96,-0.42,0.11,0.43,-0.04,-0.03,0.03,5.1,-3.2,-8.44,9.31,0.96,2.91
16308,-0.8656005859375,-0.42578125,-0.10650634765625,0.2489013671875,-0.4329833984375,-0.40460205078125,-0.64202880859375,0.4942626953125,-2.6875,4.5,53.0,-49.5625,-8.0625,4.875,0.0011111111111111111,-0.0011111111111111111,0.0033333333333333335,-0.011111111111111112,-0.0077777777777777776,0.005555555555555556,4.69,-3.08,-8.06,9.3,0.91,2.95,-0.4,0.12,0.38,-0.01,-0.04,0.03,3.81,-3.2,-8.44,9.31,0.96,2.91
16349,-0.86566162109375,-0.42578125,-0.10614013671875,0.24884033203125,-0.43310546875,-0.4044189453125,-0.64215087890625,0.494140625,-3.0625,4.0625,51.875,-47.25,-8.5,5.375,0.011111111111111112,0.0,0.006666666666666667,-0.011111111111111112,-0.0022222222222222222,0.008888888888888889,4.72,-3.05,-8.11,9.26,0.91,2.93,-0.37,0.15,0.32,-0.04,-0.04,0.01,5.08,-3.2,-8.44,9.31,0.95,2.91
16389,-0.86566162109375,-0.42578125,-0.105712890625,0.24896240234375,-0.43316650390625,-0.40435791015625,-0.64202880859375,0.49432373046875,-3.0625,3.6875,53.5,-38.875,-8.0625,4.5,0.15777777777777777,-0.0033333333333333335,0.011111111111111112,0.15444444444444444,-0.0011111111111111111,0.023333333333333334,4.78,-3.05,-8.11,9.27,0.92,2.93,-0.3,0.16,0.32,-0.02,-0.02,0.01,3.8,-3.21,-8.44,9.31,0.95,2.91
16428,-0.86578369140625,-0.4256591796875,-0.1053466796875,0.24896240234375,-0.433349609375,-0.4041748046875,-0.64178466796875,0.49462890625,-3.0625,3.6875,53.5,-38.875,-8.0625,4.5,0.022222222222222223,-0.01888888888888889,0.015555555555555555,-0.006666666666666667,-0.0022222222222222222,0.028888888888888888,4.77,-3.07,-8.16,9.29,0.93,2.89,-0.3,0.14,0.28,-0.02,-0.01,0.05,5.07,-3.22,-8.45,9.31,0.94,2.91
16464,-0.86590576171875,-0.42547607421875,-0.10455322265625,0.24908447265625,-0.43359375,-0.40386962890625,-0.64141845703125,0.49505615234375,-3.0625,4.0625,53.875,-48.375,-8.5,4.5,0.17,-0.016666666666666666,0.016666666666666666,0.15444444444444444,-0.0044444444444444444,0.03777777777777778,4.75,-3.08,-8.11,9.34,0.84,2.92,-0.32,0.14,0.35,-0.01,-0.09,0.04,5.06,-3.23,-8.45,9.31,0.93,2.91
16504,-0.865966796875,-0.4254150390625,-0.10400390625,0.24151611328125,-0.433837890625,-0.4036865234375,-0.64117431640625,0.48760986328125,-2.6875,4.875,52.6875,-50.6875,-8.0625,4.875,0.2,0.0022222222222222222,-0.013333333333333334,-0.016666666666666666,-0.0077777777777777776,0.023333333333333334,3.38,-3.14,-8.29,9.41,0.88,2.92,-0.34,0.1,0.26,1.32,-0.04,-0.12,5.06,-3.24,-8.44,9.31,0.91,2.91
16544,-0.86572265625,-0.42559814453125,-0.10369873046875,0.24993896484375,-0.43463134765625,-0.40301513671875,-0.64117431640625,0.4952392578125,-3.75,5.5625,53.875,-48.75,-8.0625,4.5,0.0033333333333333335,0.08222222222222222,-0.03666666666666667,-0.08555555555555555,-0.024444444444444446,0.02666666666666667,4.77,-3.06,-8.07,9.28,0.97,2.92,-0.32,0.21,0.41,1.29,0.02,0.0,3.79,-3.24,-8.43,9.32,0.89,2.91
16581,-0.865234375,-0.4259033203125,-0.10418701171875,0.24310302734375,-0.43548583984375,-0.40228271484375,-0.640869140625,0.4954833984375,-2.6875,3.6875,53.5,-50.25,-7.6875,4.5,0.22444444444444445,0.012222222222222223,-0.015555555555555555,0.15444444444444444,-0.027777777777777776,0.06666666666666667,4.63,-3.2,-8.22,9.44,0.71,2.85,-0.44,0.06,0.2,0.12,-0.16,-0.04,3.8,-3.27,-8.42,9.32,0.87,2.9
16618,-0.86456298828125,-0.4261474609375,-0.10400390625,0.2451171875,-0.43670654296875,-0.40167236328125,-0.64031982421875,0.48779296875,-2.6875,3.6875,53.5,-50.25,-7.6875,4.5,0.2544444444444444,0.11888888888888889,-0.043333333333333335,-0.13444444444444445,-0.057777777777777775,0.025555555555555557,4.78,-3.32,-8.1,9.29,0.78,2.91,-0.32,-0.02,0.29,-0.03,-0.07,0.01,3.84,-3.3,-8.39,9.33,0.84,2.89
